classifier,recipe,metric,metric_direction,raw_metric_slope_sign_note,bases,checkpoint_seeds,contamination_seed_pairs,n_observations,n_subjects,subject_intercept_slope_oriented,subject_intercept_cluster_se,subject_intercept_p_two_sided,subject_centered_pearson_r,subject_centered_spearman_r,pooled_pearson_r_descriptive,pooled_pearson_p_descriptive,pooled_spearman_r_sensitivity,pooled_spearman_p_sensitivity,bh_fdr_q_subject_intercept,classifier_label,metric_label,recipe_label,source_file
csp_lda,eog,CC,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,2 4 6 8 16,42 43 44 45 46,1 2 3 4 5,1125,9,0.6608892549902674,0.3347411609800235,0.0837806701424849,0.3245138893805228,0.3946663208924001,-0.1251603700166453,2.5547927510590024e-05,0.2258439294565317,1.7762629531838267e-14,0.1808125653939684,CSP+LDA,CC,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
csp_lda,eog,RMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,2 4 6 8 16,42 43 44 45 46,1 2 3 4 5,1125,9,-0.0046344497964867,0.0161668660601172,0.7816540765434417,-0.0309320419546508,0.0537157633871032,-0.3093320698248458,2.2689563176406723e-26,-0.3211021732519846,2.1413523299652764e-28,0.8496239962428713,CSP+LDA,RMSE,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
csp_lda,eog,T_RRMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,2 4 6 8 16,42 43 44 45 46,1 2 3 4 5,1125,9,-0.0466465820889336,0.1912386404056718,0.8134330651513206,-0.0278288832228812,-0.0265663156120709,-0.3850573411736354,4.505276977097348e-41,-0.3751719436258325,6.41339782866838e-39,0.8715354269478435,CSP+LDA,T-RRMSE,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
csp_lda,eog,S_RRMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,2 4 6 8 16,42 43 44 45 46,1 2 3 4 5,1125,9,-0.0551846291570602,0.0507319352264619,0.3083795972531025,-0.1247764678338332,-0.1132034061238828,-0.4064698706290958,5.358577987073001e-46,-0.3612026264292541,5.313732605115975e-36,0.4920951019996317,CSP+LDA,S-RRMSE,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
csp_lda,eog,SDR,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,2 4 6 8 16,42 43 44 45 46,1 2 3 4 5,1125,9,0.00116645091682,0.022135867262302,0.9592669478932956,0.0064916200327331,-0.0238957256309833,-0.3881095670008103,9.413364321386091e-42,-0.4032695779387901,3.0780343861954624e-45,0.9592669478932956,CSP+LDA,SDR,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
shallowfbcsp,eog,CC,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.1167992224202987,0.2018381438272924,0.5787300375474608,0.0638734524693789,0.1468951318933437,0.3775005661509752,7.343051259895745e-07,0.5514025022955278,2.8727872476609494e-14,0.6929047542657458,ShallowFBCSPNet,CC,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
shallowfbcsp,eog,RMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.0187306177279898,0.0275421927712384,0.5156538845468666,0.0984387091043367,0.0913378692444353,-0.0572361833902665,0.4694035502444956,0.0441828792417277,0.5766570724151494,0.6557930150449922,ShallowFBCSPNet,RMSE,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
shallowfbcsp,eog,T_RRMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.2314437653678839,0.3261932338052948,0.4981507613503577,0.0990065372867464,0.1153516451807603,-0.0069677344035056,0.929877384696137,-0.0419247623699854,0.5963088466300885,0.6557930150449922,ShallowFBCSPNet,T-RRMSE,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
shallowfbcsp,eog,S_RRMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.0386346073032541,0.052867434220901,0.4857609577863242,0.0729627063625739,0.0624579358528243,-0.2424264640954753,0.0018823586435929,-0.1801412734432419,0.0217980864835747,0.6557930150449922,ShallowFBCSPNet,S-RRMSE,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
shallowfbcsp,eog,SDR,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.0258997783666707,0.0328745037319611,0.4534998460868337,0.1041020433450818,0.0694179020323311,0.0358694924192063,0.6504373538629219,0.0110591273793579,0.8889175733356292,0.6417450652172175,ShallowFBCSPNet,SDR,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eegconformer,eog,CC,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.3855555160509064,0.3464907632504655,0.2981341881710856,0.114637274321989,0.1358442381935671,0.3215252057123161,3.0195920134466197e-05,0.5537572189209733,2.12014323339519e-14,0.4860883502789439,EEGConformer,CC,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eegconformer,eog,RMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.0262886631134817,0.031879469094443,0.4334806991706429,0.0751174439153444,0.1091841535268488,-0.2318487168201853,0.0029910050547703,-0.2164557212186737,0.0056648599692466,0.625212546880735,EEGConformer,RMSE,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eegconformer,eog,T_RRMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.2465375610569426,0.4154785985602724,0.569317573809826,0.0573403014159238,0.0963718173333768,-0.1730800951612915,0.0276270761809075,-0.2079031156375328,0.0079365738889741,0.6929047542657458,EEGConformer,T-RRMSE,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eegconformer,eog,S_RRMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.0721699961531445,0.0723477967117405,0.3477136100719514,0.0741036509722651,0.0340649288285153,-0.410028127996642,6.00794271940789e-08,-0.4123245022373306,4.983048261040439e-08,0.5322147092938031,EEGConformer,S-RRMSE,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eegconformer,eog,SDR,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.0257715820498673,0.0472747140342575,0.6005174536969797,0.0563200169617256,0.0820540538842529,-0.1406126149356954,0.0743058494056848,-0.1643920875737417,0.0365809151548104,0.6929047542657458,EEGConformer,SDR,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eegnet,eog,CC,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,-0.0309069158336131,0.2240129395962944,0.8936741466586331,-0.0183281288590791,-0.1531790741406318,0.3623434356954934,2.15638499230546e-06,0.2487493869722882,0.0014135524721991,0.9309105694360762,EEGNet,CC,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eegnet,eog,RMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,-0.0145199536527239,0.0160665001401151,0.3925328854408916,-0.0827486771994063,-0.141240595038052,0.3512614170775169,4.581133941296018e-06,0.3152935033269588,4.375762738376545e-05,0.5887993281613374,EEGNet,RMSE,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
